contour30s_lon,contour30s_lat,contour30s_x,contour30s_y,normals30_x,normals30_y
-87.99666590146147,29.95702529230425,-175949.63003543369,3334697.46750904,-0.01640324942360843,0.9998654576533519
-87.97611004548492,29.958401211419837,-173949.42236929556,3334728.66795073,-0.01562848313351519,0.9998778677993355
-87.95555304344998,29.959775115558383,-171949.21669646565,3334759.995538121,-0.01644906378131248,0.9998647049979904
-87.93499730683567,29.96117410953098,-169949.06317467787,3334794.479018179,-0.018702809152195844,0.9998250871676587
-87.91444510272696,29.96262240005752,-167949.01964457467,3334834.823548533,-0.022237002234862878,0.9997527272939077
-87.8938986728116,29.964141614202564,-165949.16072219543,3334883.446857272,-0.026909200765724287,0.9996378818923131
-87.87336028885571,29.965750840613193,-163949.5826311608,3334942.484187944,-0.03258940042106025,0.9994688244163475
-87.85283231714334,29.967467028892614,-161950.4065146991,3335013.8331173235,-0.0391640224199429,0.9992327953724748
-87.83231724294478,29.96930517612595,-159951.77934019078,3335099.174459163,-0.046523948849366156,0.9989171748365636
-87.81181765526141,29.97127830015588,-157953.87239433106,3335199.969219169,-0.05457475663887043,0.9985096874531604
-87.79133629219791,29.973397993096626,-155956.88180591643,3335317.5204236237,-0.06323350909149812,0.9979987591815811
-87.77087599513705,29.975674281102517,-153961.02488093785,3335452.9572687196,-0.0724256160087875,0.9973738166533889
-87.7504397407571,29.97811606534855,-151966.54013536364,3335607.284350398,-0.08208492662334411,0.9966253382396216
-87.73003058701755,29.980730985847533,-149973.68283602368,3335781.366217018,-0.0921532572171935,0.9957448353791556
-87.7096517088615,29.983525845011286,-147982.7255520358,3335975.974678441,-0.10257812945709929,0.994724950605484
-87.68930632940513,29.9865063911861,-145993.9528110182,3336191.764349146,-0.11331006716085051,0.9935596754498461
-87.66899774667601,29.98967764485619,-144007.66145354966,3336429.309079079,-0.12430288713824114,0.9922443208449709
-87.64872925778631,29.99304369372293,-142024.15454018547,3336689.0787464716,-0.13550826203076355,0.9907762163684602
-87.62850415017313,29.99660782448216,-140043.73955299833,3336971.4538729237,-0.1468785152920903,0.9891545388591164
-87.60832563752975,30.00037241796241,-138066.7227853,3337276.713618165,-0.15836156164215692,0.9873811907233484
-87.58819680366975,30.00433890103075,-136093.4041254701,3337605.0301382923,-0.1698990638060236,0.9854614696262034
-87.56812050383077,30.008507577382126,-134124.06849593672,3337956.449247938,-0.1814304465261714,0.9834037792653199
-87.54809933318691,30.012877722113778,-132158.98209688388,3338330.900793378,-0.1928878228007205,0.981220815013215
-87.52813546484407,30.017447233306864,-130198.37885652733,3338728.1590567306,-0.20419388069734215,0.978930466931007
-87.50823058052455,30.022212651539046,-128242.45348262202,3339147.8445944176,-0.21526592552308552,0.9765554676047282
-87.48838572808567,30.02716895648254,-126291.3488550046,3339589.40089831,-0.22601674225835705,0.9741234173444961
-87.46860125616514,30.032309616556965,-124345.14926842692,3340052.099626581,-0.2363575269830466,0.9716661563718572
-87.44887670358823,30.037626489380752,-122403.87025059202,3340535.029006393,-0.24619300258888083,0.969220823897357
-87.4292106798795,30.043109697896714,-120467.44767002932,3341037.079495064,-0.25542664822567485,0.9668284374056224
-87.40960082448318,30.048747715578756,-118535.73314335485,3341556.9531223513,-0.26396443806647635,0.9645324128489666
-87.39004375655843,30.05452737367094,-116608.48903214947,3342093.164116794,-0.2717132437887655,0.9623782588721479
-87.37053504380877,30.060433888155792,-114685.38516365766,3342644.041831634,-0.2785871744983471,0.9604109465249903
-87.35106927544348,30.066451089098297,-112766.00437125689,3343207.7567280135,-0.28450818767822134,0.958673610330468
-87.331640083584,30.07256146768014,-110849.84420057644,3343782.325806923,-0.2894032730075442,0.9572072636438363
-87.31224022244729,30.078746303745575,-108936.32370866486,3344365.627296305,-0.2932088728968738,0.9560484071711771
-87.29286169851372,30.084985866839578,-107024.79474867236,3344955.42376949,-0.29587343133455796,0.9552271523728346
-87.27349593165214,30.09125963212982,-105114.55616869895,3345549.387068003,-0.2973509789615052,0.954768241674719
-87.25413382879466,30.09754625344462,-103204.8610554395,3346145.0957481666,-0.297609465222193,0.9546877008792772
-87.23476610193316,30.103824071977545,-101294.94431442894,3346740.0933484533,-0.29663127576244874,0.9549920870036264
-87.21538337360644,30.110071106874663,-99384.03289792904,3347331.8879177095,-0.2944041848427494,0.9556810011437271
-87.19597637051135,30.11626524456633,-97471.36333286468,3347917.974085551,-0.2909303166988124,0.956744245253416
-87.1765361665441,30.12238454573306,-95556.20332055521,3348495.8684451487,-0.2862207291940546,0.9581637094879056
-87.1570542866644,30.12840724411289,-93637.86176363501,3349063.1099361856,-0.28029871000106493,0.9599128258189589
-87.13752297853252,30.13431217142956,-91715.71243337344,3349617.3084472963,-0.2732002445206708,0.9619571853226346
-87.11793529340238,30.140078773966472,-89789.20168741583,3350156.147017194,-0.2649689160994051,0.9642569540849091
-87.09828524481156,30.145687359873328,-87857.86232177768,3350677.410070845,-0.2556613388534208,0.9667664039547901
-87.07856792264124,30.15111930948433,-85921.32335267517,3351179.0072960956,-0.24534733921281496,0.9694352392713976
-87.0587795945778,30.156357332637057,-83979.31832293698,3351659.0026637143,-0.2341047045444738,0.9722113902388434
-87.03891769631902,30.161385494992334,-82031.68425757161,3352115.617194196,-0.22202350513005667,0.9750413135707449
-87.0189809262745,30.166189632172163,-80078.36843256083,3352547.2753511826,-0.20920365264198537,0.9778720937429657
-86.99896914610953,30.170757291709876,-78119.41921859086,3352952.597962433,-0.19575006284991137,0.9806538190892113
