contour15s_lon,contour15s_lat,contour15s_x,contour15s_y,normals_x,normals_y
-90.29473420191934,28.974981475218073,-407646.2339677328,3241079.2362770336,-0.3328588554439002,0.9429766605555921
-90.2559358128832,28.990147025659848,-403706.30171532487,3242469.982617765,-0.329870566140272,0.9440261699732145
-90.21701490114863,29.00508722178588,-399757.6451187713,3243835.7417134545,-0.32229061745631665,0.9466407755318942
-90.17791709254195,29.019685620331067,-395795.9347468037,3245163.123585793,-0.31122875398434935,0.9503350265529255
-90.13858309844237,29.033805133773413,-391816.52711926994,3246436.4079955257,-0.29606576367479703,0.9551675578555101
-90.09894997692297,29.047283291300776,-387814.6256476892,3247637.0270953085,-0.27607798981484,0.961135236863053
-90.05895457337041,29.059928820567308,-383785.642194019,3248743.2119514747,-0.2504789174975323,0.96812205423142
-90.01853940648112,29.071519740637456,-379725.7835937476,3249729.8256144873,-0.21848106207773124,0.9758411886743595
-89.97766140353093,29.081804275527233,-375632.8915265768,3250568.5311174933,-0.17942190707783193,0.9837722191953551
-89.93630377834202,29.09050805715135,-371507.535403308,3251228.6824986283,-0.13297454241533097,0.9911194534814829
-89.89448939826579,29.09735056330153,-367354.1730636928,3251679.253740806,-0.07946646491028034,0.9968375399003907
-89.85229206035126,29.102076220065033,-363181.98610955034,3251892.383397049,-0.02022856888157911,0.9997953815661499
-89.80983792334239,29.10449756516781,-359004.65817135456,3251848.1870448017,0.042163943964584734,0.9991107054923151
-89.76729009636126,29.104545861630026,-354838.45484434906,3251540.2740834374,0.10396881427031375,0.9945805576519304
-89.72481425999467,29.102310754177168,-350698.5540152435,3250979.9056434887,0.16078610977429617,0.9869892739557244
-89.68253511927168,29.098055052711736,-346594.6974886041,3250197.3195953495,0.2083075546771012,0.9780633735420453
-89.64050139752341,29.092199040967532,-342527.9341344993,3249239.730217647,0.24293303500280897,0.970043061159825
-89.59867351680236,29.08528726698975,-338489.72190404404,3248167.5475200494,0.2619765153555799,0.9650742486472986
-89.55693744257742,29.0779536967512,-334463.593958218,3247050.605659629,0.2634631264587031,0.9646694672252282
-89.51513879049845,29.07089985510627,-330428.6932119266,3245965.9811868602,0.24577517118333309,0.9693268619149082
-89.47313154816439,29.064883645692962,-326364.64649221016,3244997.097933731,0.2074534418471241,0.9782448923790924
-89.43083785695295,29.060710343617817,-322257.502102,3244233.141349974,0.14738538268481238,0.9890791419147666
-89.38831547017982,29.059205853780693,-318106.55712216167,3243766.537495773,0.06554120763814586,0.997849863507198
-89.34581867952015,29.061152743826845,-313930.82824367756,3243686.2251452003,-0.03581915647103216,0.9993582881177818
-89.30382062224557,29.067177917399682,-309772.0961283154,3244065.2625536323,-0.15109514565671753,0.988519224375012
-89.26295658121936,29.07762138557068,-305690.3238208029,3244945.786097944,-0.27156650926748244,0.9624196751128244
-89.22388184367517,29.092453268020293,-301750.3022653789,3246328.776708375,-0.38745185767885476,0.921889938106065
-89.18710402180584,29.11129948208017,-298004.95227696135,3248175.7936710073,-0.49081345584222585,0.8712646851354708
-89.15287776855247,29.133565893243606,-294484.01115303463,3250422.1291796174,-0.5773859127426373,0.8164713759626554
-89.12119918789834,29.158588001241416,-291192.3320606341,3252993.4897441063,-0.6464862491688951,0.7629256383393689
-89.09186982536947,29.185741807373425,-288115.32651545433,3255818.811158284,-0.699742734065996,0.714394923079556
-89.06457891727132,29.21449765159587,-285226.6405358227,3258836.82536045,-0.7397803411107076,0.6728484576084909
-89.03897544663594,29.244433937188244,-282495.13268182444,3261998.0761388843,-0.7693513938598978,0.6388258234963836
-89.01471668089904,29.275227769543193,-279889.71505551244,3265264.197119986,-0.790927212121827,0.611910242703286
-88.9914992325179,29.306639659745635,-277382.5179477658,3268606.408270077,-0.8066050039295157,0.5910908285837855
-88.96907678421898,29.33849841162424,-274950.7401282486,3272003.942854425,-0.8181338177458704,0.5750278743335553
-88.94726885954248,29.37068872040786,-272577.59731255175,3275442.71697565,-0.8269762588060868,0.5622368427727662
-88.925963215351,29.4031414185805,-270252.6240111833,3278914.252166007,-0.8343539264466069,0.551229104296145
-88.9051128254498,29.435825105932082,-267971.4353275682,3282414.717017134,-0.8412530224817503,0.5406416115739888
-88.88472717015904,29.468737473495988,-265734.935615901,3285943.897934666,-0.8484065907562612,0.5293451206550768
-88.86485979161031,29.501896199729522,-263548.167402109,3289504.098810238,-0.8562638321473626,0.5165387204811591
-88.84559122124023,29.535328543373737,-261418.72121307917,3293098.8664556844,-0.8649649350706156,0.5018323037612122
-88.82700924462016,29.56906083518421,-259354.88966247733,3296731.6889446494,-0.8743511708335662,0.4852937564630024
-88.80918777597944,29.60310908083893,-257363.68127727893,3300404.8102648216,-0.8840106348601561,0.4674667875412579
-88.79216582089657,29.637471904258177,-255448.82926936477,3304118.3076733924,-0.8933597728190259,0.4493420927408633
-88.77592926629595,29.67212697034734,-253609.05337601004,3307869.5761594158,-0.9017373150765823,0.43228441401290035
-88.7603965842198,29.707030445709137,-251836.68336480844,3311653.177412051,-0.9084788427743687,0.41793084623098103
-88.74540969264676,29.742118367786002,-250116.7726938527,3315460.9352117125,-0.9129428041631881,0.408087535127765
-88.73072857532736,29.77730748849889,-248426.58350847734,3319281.9968621247,-0.9144737817880899,0.4046451561827827
-88.71602913232726,29.812493460961836,-246735.4064580289,3323102.6200855765,-0.9122941622725587,0.40953554361423916
-88.70090093590568,29.847543354915405,-245004.4139452148,3326905.3286181884,-0.9053294615349905,0.4247099787817141
-88.68484612111274,29.88228060127452,-243186.6795121934,3330667.2340939967,-0.8919855932155539,0.4520638245822116
